Iteration	Posterior	Likelihood	Prior	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
131	-16615.7	-16350	-265.747	0.007308208	0.02473815	0.107086	0.107086	0.107086	0.107086	0.1070859	0.0860659	0.11214	0.137348	0.178958	0.1241057	0.3181815
132	-16614.5	-16348.5	-265.973	0.007308208	0.02706391	0.107086	0.107086	0.107086	0.107086	0.1070859	0.11053	0.135469	0.158323	0.194046	0.1464511	0.2446253
133	-16614.5	-16349.4	-265.148	0.007308208	0.02706391	0.0864291	0.0864291	0.0864291	0.0864291	0.08642911	0.130007	0.141698	0.151363	0.164976	0.1464511	0.1035395
134	-16609.1	-16343.6	-265.578	0.007308208	0.04296468	0.0926787	0.0926787	0.0926787	0.0926787	0.09267871	0.106147	0.126267	0.144228	0.171567	0.1349492	0.2086998
135	-16610	-16345.3	-264.726	0.007308208	0.07060578	0.0464627	0.0464627	0.0464627	0.0464627	0.0464627	0.0979501	0.113107	0.12629	0.145832	0.1195169	0.1729907
136	-16605.3	-16340.3	-265.006	0.007308208	0.1666054	0.046791	0.046791	0.046791	0.046791	0.04679101	0.0974774	0.112561	0.12568	0.145129	0.1189401	0.1729907
137	-16606.4	-16341.6	-264.78	0.007308208	0.1861907	0.046791	0.046791	0.046791	0.046791	0.04679101	0.10179	0.113919	0.124182	0.13898	0.1189401	0.1353596
138	-16609	-16344.6	-264.453	0.007308208	0.188861	0.0364142	0.0364142	0.0364142	0.0364142	0.03641416	0.10179	0.113919	0.124182	0.13898	0.1189401	0.1353596
139	-16611.9	-16347.3	-264.638	0.007308208	0.2021092	0.0361903	0.0361903	0.0361903	0.0361903	0.03619027	0.108659	0.123847	0.136907	0.156044	0.1302132	0.1573106
140	-16612	-16347.5	-264.52	0.007308208	0.1876744	0.0361903	0.0361903	0.0361903	0.0361903	0.03619027	0.117524	0.126567	0.133964	0.144272	0.1302132	0.08912836
141	-16603.8	-16339.1	-264.713	0.007308208	0.1876744	0.0275698	0.0275698	0.0275698	0.0275698	0.02756981	0.107982	0.123633	0.137144	0.157021	0.1302132	0.1627384
142	-16601.2	-16335.5	-265.678	0.007308208	0.1893342	0.0287515	0.0287515	0.0287515	0.0287515	0.02875151	0.0883711	0.116957	0.144972	0.191867	0.1302132	0.3369656
143	-16598	-16333.2	-264.784	0.007308208	0.1968054	0.0465853	0.0465853	0.0465853	0.0465853	0.04658529	0.102916	0.121998	0.138981	0.164751	0.1302132	0.2045114
144	-16599.3	-16334	-265.302	0.007308208	0.1538126	0.0752939	0.0752939	0.0752939	0.0752939	0.07529389	0.104153	0.132589	0.159528	0.203082	0.1454361	0.2902373
145	-16596.6	-16331.7	-264.885	0.007308208	0.2009186	0.0557056	0.0557056	0.0557056	0.0557056	0.05570561	0.107083	0.125023	0.140778	0.164364	0.1326671	0.1862391
146	-16602.8	-16338	-264.813	0.007308208	0.1585928	0.046728	0.046728	0.046728	0.046728	0.04672799	0.110132	0.125999	0.139688	0.159813	0.1326671	0.1618325
147	-16601.1	-16336.1	-265.011	0.007308208	0.1582679	0.0520016	0.0520016	0.0520016	0.0520016	0.05200159	0.115696	0.127731	0.137794	0.152128	0.1326671	0.1189896
