Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
90	0	-271.992	-275.221	3.22934	0.09601967	0.0255531	0.0255531	0.0255531	0.0255531	0.02555306	0.103638	0.12585	0.146039	0.177337	0.135569	0.2334714
91	1	-257.145	-270.758	13.6132	0.141127	1.07216e-06	1.07216e-06	1.07216e-06	1.07216e-06	1.07216e-06	0.109178	0.119469	0.128007	0.140073	0.1236642	0.1083102
92	0	-270.415	-273.987	3.57155	0.02753053	0.0247976	0.0247976	0.0247976	0.0247976	0.02479764	0.041625	0.0602084	0.0798888	0.115555	0.069354	0.4437984
93	1	-256.929	-269.964	13.0341	0.1779456	1.79941e-06	1.79941e-06	1.79941e-06	1.79941e-06	1.799406e-06	0.107562	0.120345	0.131157	0.146744	0.1256347	0.1350099
94	0	-271.703	-273.34	1.63703	0.02114706	0.116572	0.116572	0.116572	0.116572	0.1165723	0.0775478	0.104728	0.13184	0.17805	0.1175047	0.3612675
95	1	-255.586	-269.383	13.7967	0.1929137	1.1612e-06	1.1612e-06	1.1612e-06	1.1612e-06	1.161197e-06	0.0802226	0.0889417	0.0962585	0.10672	0.0925278	0.1240525
96	0	-270.608	-273.83	3.22114	0.0595901	0.0460607	0.0460607	0.0460607	0.0460607	0.04606074	0.0977202	0.101905	0.105233	0.10974	0.1035558	0.05042135
97	1	-258.981	-271.756	12.7746	0.1719108	2.15597e-06	2.15597e-06	2.15597e-06	2.15597e-06	2.155971e-06	0.0713918	0.0921046	0.111957	0.144439	0.1015469	0.3062873
98	0	-263.39	-273.749	10.3589	0.04294512	4.00502e-05	4.00502e-05	4.00502e-05	4.00502e-05	4.005023e-05	0.0991007	0.100252	0.101143	0.102318	0.1006964	0.01388565
99	1	-255.3	-268.647	13.3463	0.1944462	1.71472e-06	1.71472e-06	1.71472e-06	1.71472e-06	1.714722e-06	0.078007	0.0887473	0.0979671	0.111456	0.0932433	0.1550948
100	0	-264.101	-273.639	9.53851	0.1256937	5.31064e-05	5.31064e-05	5.31064e-05	5.31064e-05	5.310641e-05	0.074165	0.0955134	0.115943	0.149318	0.1052338	0.3041622
101	1	-259.757	-272.985	13.228	0.1583784	1.69955e-06	1.69955e-06	1.69955e-06	1.69955e-06	1.699555e-06	0.0764065	0.090758	0.103553	0.123004	0.09694472	0.2069573
102	0	-266.788	-273.978	7.19065	0.01213596	0.000589944	0.000589944	0.000589944	0.000589944	0.0005899441	0.0611667	0.0818837	0.102392	0.137072	0.09156539	0.3507202
103	1	-255.552	-269.27	13.7182	0.2006522	1.54525e-06	1.54525e-06	1.54525e-06	1.54525e-06	1.545253e-06	0.0719644	0.0775241	0.0820731	0.0884138	0.0797662	0.08947568
104	0	-260.498	-273.599	13.1012	0.0160485	1.36237e-06	1.36237e-06	1.36237e-06	1.36237e-06	1.362371e-06	0.0472599	0.07147	0.098121	0.148386	0.08374195	0.497308
105	1	-263.872	-273.765	9.89372	0.07049181	3.5368e-05	3.5368e-05	3.5368e-05	3.5368e-05	3.536801e-05	0.0739726	0.0967738	0.118896	0.155544	0.107266	0.3230472
106	0	-265.368	-274.303	8.93517	0.1601737	0.000188976	0.000188976	0.000188976	0.000188976	0.0001889759	0.0848127	0.0864999	0.0878154	0.0895623	0.08715516	0.02368397
107	1	-255.763	-269.733	13.9697	0.1852563	1.12006e-06	1.12006e-06	1.12006e-06	1.12006e-06	1.120063e-06	0.0743679	0.0809914	0.086463	0.0941638	0.0836825	0.1025826
