Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
11400	-261.987	-273.224	11.2363	0.1197052	1.19067e-05	1.19067e-05	1.19067e-05	1.19067e-05	1.190672e-05	0.101707	0.112611	0.12175	0.134803	0.1170915	0.1224476
11500	-268.545	-274.033	5.48732	0.118624	0.00400355	0.00400355	0.00400355	0.00400355	0.004003549	0.0655586	0.0808618	0.0949637	0.117131	0.08762954	0.2522484
11600	-267.406	-274.22	6.81454	0.1464036	0.00125236	0.00125236	0.00125236	0.00125236	0.001252363	0.106064	0.10836	0.110152	0.112535	0.1092519	0.02573906
11700	-264.297	-273.533	9.23612	0.1006428	8.28654e-05	8.28654e-05	8.28654e-05	8.28654e-05	8.28654e-05	0.0844164	0.100427	0.114722	0.13648	0.1073368	0.2088147
11800	-262.913	-274.111	11.1978	0.06827574	5.67981e-06	5.67981e-06	5.67981e-06	5.67981e-06	5.679809e-06	0.0170828	0.0399275	0.0765228	0.178856	0.05527534	1.020783
11900	-256.959	-270.019	13.0599	0.1950529	1.81146e-06	1.81146e-06	1.81146e-06	1.81146e-06	1.811461e-06	0.091405	0.106226	0.11919	0.138516	0.1125214	0.1806784
12000	-256.715	-269.573	12.8581	0.1844861	2.65576e-06	2.65576e-06	2.65576e-06	2.65576e-06	2.655757e-06	0.0877733	0.0979198	0.106481	0.11879	0.1021108	0.131527
12100	-263.319	-273.751	10.4317	0.1312615	1.9584e-05	1.9584e-05	1.9584e-05	1.9584e-05	1.958404e-05	0.0363382	0.0593984	0.086556	0.141485	0.0717028	0.5908305
12200	-257.913	-270.586	12.673	0.1675105	2.77221e-06	2.77221e-06	2.77221e-06	2.77221e-06	2.77221e-06	0.0984054	0.110677	0.121106	0.136209	0.1157744	0.1413036
12300	-255.616	-269.253	13.6375	0.200642	1.2198e-06	1.2198e-06	1.2198e-06	1.2198e-06	1.219798e-06	0.0812337	0.0926579	0.102487	0.1169	0.09744867	0.1582087
12400	-255.85	-269.031	13.1802	0.1964064	1.39647e-06	1.39647e-06	1.39647e-06	1.39647e-06	1.396465e-06	0.0982741	0.116477	0.132675	0.15725	0.1243127	0.2043203
12500	-262.658	-273.918	11.2603	0.04786741	9.92695e-06	9.92695e-06	9.92695e-06	9.92695e-06	9.926954e-06	0.0990021	0.115684	0.130344	0.152307	0.1227956	0.1872302
12600	-267.507	-274.354	6.84648	0.01067896	0.000678031	0.000678031	0.000678031	0.000678031	0.0006780312	0.0244711	0.0454243	0.0729666	0.135444	0.05757132	0.7437152
12700	-270.147	-274.86	4.71315	0.05864894	0.00291584	0.00291584	0.00291584	0.00291584	0.002915845	0.00368207	0.014453	0.0412094	0.161757	0.02440493	1.644118
12800	-271.617	-274.507	2.88968	0.03721978	0.0182222	0.0182222	0.0182222	0.0182222	0.01822223	0.00480635	0.0174101	0.046678	0.169083	0.02850737	1.547551
12900	-272.454	-273.589	1.13475	0.0009761193	0.100502	0.100502	0.100502	0.100502	0.1005017	0.00609494	0.0208874	0.0536722	0.183935	0.03348241	1.480907
13000	-270.694	-274.61	3.91575	0.001384528	0.0126351	0.0126351	0.0126351	0.0126351	0.01263506	0.0671	0.0929738	0.119368	0.165396	0.1053475	0.392125
13100	-266.111	-274.408	8.29725	0.1528963	0.000352634	0.000352634	0.000352634	0.000352634	0.0003526345	0.0813742	0.0843468	0.0866978	0.0898648	0.08551422	0.04313832
13200	-268.592	-274.023	5.43078	0.05797126	0.00262684	0.00262684	0.00262684	0.00262684	0.002626844	0.0503203	0.0770667	0.106835	0.16362	0.09073818	0.5125131
