/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 15:49:23 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1340        |       -262.095   |       -275.526   |        13.4316   |     0.08473888   |   1.452478e-06   |     0.06287846   |   00:00:54   |   00:12:31   |
1350        |       -260.191   |       -273.446   |        13.2556   |     0.03121286   |   1.313162e-06   |     0.08065376   |   00:00:54   |   00:12:26   |
1360        |       -260.202   |       -273.378   |        13.1753   |    0.001285178   |   2.682086e-06   |     0.08487154   |   00:00:55   |   00:12:33   |
1370        |       -259.134   |       -272.844   |        13.7098   |    0.009104842   |   1.199631e-06   |      0.1117549   |   00:00:55   |   00:12:27   |
1380        |       -256.583   |       -270.158   |        13.5742   |      0.1866812   |    1.05289e-06   |       0.109626   |   00:00:55   |   00:12:22   |
1390        |       -259.041   |        -272.59   |         13.549   |        0.18238   |   1.569796e-06   |     0.08456076   |   00:00:56   |   00:12:29   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1400        |       -261.857   |       -274.452   |        12.5952   |      0.1807039   |   1.310342e-06   |      0.0962347   |   00:00:56   |   00:12:23   |
1400        |       -261.857   |       -274.452   |        12.5952   |      0.1807039   |   1.310342e-06   |      0.0962347   |   00:00:56   |   00:12:23   |
1410        |       -261.925   |       -274.593   |        12.6683   |      0.1084275   |   1.292585e-06   |     0.04439719   |   00:00:57   |   00:12:31   |
1420        |       -263.545   |        -275.19   |        11.6454   |      0.1108415   |   3.132414e-06   |      0.0372434   |   00:00:57   |   00:12:25   |
1430        |       -263.078   |       -275.701   |        12.6231   |      0.1077348   |     1.1308e-06   |     0.06935224   |   00:00:57   |   00:12:20   |
1440        |        -262.67   |        -274.61   |          11.94   |     0.07552489   |   3.187146e-06   |     0.09452079   |   00:00:58   |   00:12:27   |
1450        |       -254.413   |       -268.111   |        13.6973   |      0.2022412   |   1.270454e-06   |      0.1061638   |   00:00:58   |   00:12:22   |
1460        |       -257.206   |       -270.477   |        13.2716   |      0.1832083   |    1.80292e-06   |       0.114996   |   00:00:58   |   00:12:16   |
